Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241961.386465,878,652,39,-7,39.0000,-7.0000
1772241961.408956,875,652,39,-7,39.0000,-7.0000
1772241961.431382,873,652,39,-7,39.0000,-7.0000
1772241961.453957,873,652,39,-7,39.0000,-7.0000
1772241961.476383,871,652,39,-7,39.0000,-7.0000
1772241961.498965,870,652,39,-7,39.0000,-7.0000
1772241961.521485,868,652,39,-7,39.0000,-7.0000
1772241961.544061,867,652,39,-7,39.0000,-7.0000
1772241961.566421,865,652,38,-7,38.0000,-7.0000
1772241961.588996,863,652,38,-7,38.0000,-7.0000
1772241961.611373,862,652,38,-7,38.0000,-7.0000
1772241961.633841,859,652,39,-7,39.0000,-7.0000
1772241961.656150,858,652,39,-7,39.0000,-7.0000
1772241961.678688,858,652,39,-7,39.0000,-7.0000
1772241961.701222,856,652,39,-7,39.0000,-7.0000
1772241961.723540,856,652,39,-7,39.0000,-7.0000
1772241961.745982,853,652,39,-7,39.0000,-7.0000
1772241961.768376,851,652,40,-7,40.0000,-7.0000
1772241961.790745,849,652,40,-7,40.0000,-7.0000
1772241961.813234,847,652,39,-7,39.0000,-7.0000
1772241961.835609,847,652,39,-7,39.0000,-7.0000
1772241961.858216,846,652,39,-7,39.0000,-7.0000
1772241961.880463,844,652,39,-7,39.0000,-7.0000
1772241961.902982,843,652,39,-7,39.0000,-7.0000
1772241961.925414,842,652,40,-7,40.0000,-7.0000
1772241961.948108,836,652,40,-7,40.0000,-7.0000
1772241961.970599,836,652,40,-7,40.0000,-7.0000
1772241961.993072,836,652,40,-7,40.0000,-7.0000
1772241962.015473,835,652,40,-7,40.0000,-7.0000
1772241962.038064,833,652,40,-7,40.0000,-7.0000
1772241962.060390,831,652,40,-7,40.0000,-7.0000
1772241962.082859,831,652,39,-7,39.0000,-7.0000
1772241962.105296,829,652,39,-7,39.0000,-7.0000
1772241962.127698,826,652,39,-7,39.0000,-7.0000
1772241962.150242,824,652,39,-7,39.0000,-7.0000
1772241962.172757,823,652,39,-7,39.0000,-7.0000
1772241962.195253,823,652,39,-7,39.0000,-7.0000
1772241962.217465,822,652,40,-7,40.0000,-7.0000
1772241962.239895,821,652,40,-7,40.0000,-7.0000
1772241962.262329,819,652,40,-7,40.0000,-7.0000
1772241962.284827,816,652,40,-7,40.0000,-7.0000
1772241962.307307,814,652,40,-7,40.0000,-7.0000
1772241962.329759,813,652,40,-7,40.0000,-7.0000
1772241962.352301,811,652,40,-7,40.0000,-7.0000
1772241962.374763,809,652,40,-7,40.0000,-7.0000
1772241962.397214,809,652,40,-7,40.0000,-7.0000
1772241962.419589,808,652,40,-7,40.0000,-7.0000
1772241962.442174,806,652,40,-7,40.0000,-7.0000
1772241962.464478,804,652,40,-7,40.0000,-7.0000
1772241962.487061,802,652,40,-7,40.0000,-7.0000
1772241962.509387,801,652,42,-7,42.0000,-7.0000
1772241962.531855,799,652,42,-7,42.0000,-7.0000
1772241962.554298,797,652,42,-7,42.0000,-7.0000
1772241962.576763,796,652,40,-7,40.0000,-7.0000
1772241962.599303,796,652,40,-7,40.0000,-7.0000
1772241962.621654,794,652,40,-7,40.0000,-7.0000
1772241962.644246,793,652,40,-7,40.0000,-7.0000
1772241962.666471,789,652,40,-7,40.0000,-7.0000
1772241962.689050,789,652,40,-7,40.0000,-7.0000
1772241962.711334,787,652,40,-7,40.0000,-7.0000
1772241962.733761,787,652,42,-7,42.0000,-7.0000
1772241962.756177,784,652,42,-7,42.0000,-7.0000
1772241962.778470,784,652,42,-7,42.0000,-7.0000
1772241962.801048,782,652,42,-7,42.0000,-7.0000
1772241962.823520,781,652,40,-7,40.0000,-7.0000
1772241962.846102,778,652,40,-7,40.0000,-7.0000
1772241962.868463,777,652,42,-7,42.0000,-7.0000
1772241962.891007,774,652,42,-7,42.0000,-7.0000
1772241962.913380,774,652,42,-7,42.0000,-7.0000
1772241962.935849,774,652,42,-7,42.0000,-7.0000
1772241962.958319,772,652,42,-7,42.0000,-7.0000
1772241962.980789,771,652,42,-7,42.0000,-7.0000
1772241963.003296,767,652,42,-7,42.0000,-7.0000
1772241963.025660,765,652,42,-7,42.0000,-7.0000
1772241963.048241,764,652,42,-7,42.0000,-7.0000
1772241963.070458,762,653,40,-7,40.0000,-7.0000
1772241963.092957,762,652,40,-7,40.0000,-7.0000
1772241963.115305,759,652,40,-7,40.0000,-7.0000
1772241963.137667,758,652,40,-7,40.0000,-7.0000
1772241963.160280,757,652,40,-7,40.0000,-7.0000
1772241963.182651,755,652,42,-7,42.0000,-7.0000
1772241963.205239,754,652,42,-7,42.0000,-7.0000
