Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,8,speed_08,179,0.012495,-2.000000,0.000000,18.000000,3.088890,22.200000,686,204.000000,3.363404,676,104.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,9,speed_09,104,0.024699,-2.000000,0.000000,18.000000,3.023686,22.800000,683,209.000000,3.345516,676,109.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,10,speed_10,169,0.012509,-1.540000,0.732393,18.460000,2.919449,20.400000,689,208.000000,3.144016,676,108.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,11,speed_11,170,0.012408,-2.000000,0.000000,18.000000,3.167161,20.800000,685,209.000000,3.352655,676,109.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,12,speed_12,264,0.012485,-4.000000,0.000000,16.000000,3.298765,19.000000,689,217.000000,3.622040,676,117.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,13,speed_13,226,0.012442,-2.000000,0.000000,18.000000,3.005305,19.200000,689,225.000000,3.390622,676,125.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,14,speed_14,218,0.012423,-1.980000,0.060000,18.020000,5.278695,19.800000,690,229.000000,5.678135,676,129.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,15,speed_15,147,0.012475,-1.000000,0.000000,19.000000,4.863134,20.600000,689,226.000000,5.261895,676,126.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,16,speed_16,274,0.012477,-1.740000,0.506360,18.260000,3.477036,21.200000,686,206.000000,3.702726,676,106.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,17,speed_17,145,0.012460,-2.000000,0.000000,18.000000,3.354205,23.600000,685,209.000000,3.528277,676,109.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,18,speed_18,188,0.012475,-2.000000,0.000000,18.000000,2.993280,21.600000,686,210.000000,3.255247,676,110.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,19,speed_19,357,0.012480,-2.000000,0.000000,18.000000,3.814284,19.800000,689,181.000000,4.214029,677,81.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,20,speed_20,203,0.012474,-2.000000,0.000000,18.000000,4.165645,24.200000,690,214.000000,4.489076,676,114.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,1,speed_01,112,0.012584,-3.020000,1.306752,16.980000,2.428185,18.800000,675,670.000000,3.154780,664,570.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,2,speed_02,192,0.012421,-2.000000,0.000000,18.000000,4.290952,20.200000,675,305.200000,4.414996,673,205.200000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,3,speed_03,114,0.012450,-1.000000,1.065833,19.000000,3.247616,19.000000,682,352.000000,3.680919,672,252.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,4,speed_04,154,0.012501,-2.000000,0.000000,18.000000,2.885305,21.600000,675,666.000000,3.617097,664,566.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,5,speed_05,163,0.012317,-1.600000,0.651153,18.400000,2.752571,22.400000,675,677.000000,3.484208,664,577.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,6,speed_06,133,0.012467,-3.880000,0.256125,16.120000,2.470364,32.600000,675,638.000000,3.174242,664,538.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,7,speed_07,116,0.012410,-1.820000,0.328024,18.180000,2.656174,23.200000,675,653.000000,3.399926,664,553.000000
