Summary_Level,Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Trial_Count,Onset_Angle_Mean,Onset_Angle_Variance,Onset_Angle_Std,Onset_Angle_Min,Onset_Angle_Max,Onset_Time_Mean_s,Peak_Force_Mean_g,Peak_Force_Variance_g2,Overshoot_Mean_g,Overshoot_Variance_g2,Within_CSV_Var_Mean,Between_CSV_Var_Of_Means
force_speed,,speed,speed750,750,500,20,652.700000,25.410000,5.040833,644,658,2.692404,1666.150000,11771.227500,1166.150000,11771.227500,,
force_speed,,speed,speed1000,1000,500,20,655.350000,53.327500,7.302568,644,665,2.403366,1680.850000,747.827500,1180.850000,747.827500,,
force_speed,,hybrid,hybrid,hybrid,500,20,692.000000,0.000000,0.000000,692,692,4.616510,571.700000,322.566000,71.700000,322.566000,,
force_speed,,speed,speed25,25,750,20,688.950000,0.347500,0.589491,688,690,6.937415,879.490000,1867.397900,129.490000,1867.397900,,
force_speed,,speed,speed50,50,750,20,687.900000,1.390000,1.178983,686,690,4.679630,1141.350000,2163.727500,391.350000,2163.727500,,
force_speed,,speed,speed100,100,750,20,686.700000,4.510000,2.123676,683,690,3.455299,1183.860000,15664.336400,433.860000,15664.336400,,
force_speed,,speed,speed250,250,750,20,675.800000,9.260000,3.043025,668,682,2.578154,1419.490000,15549.781900,669.490000,15549.781900,,
force_speed,,speed,speed500,500,750,20,664.450000,29.047500,5.389573,660,673,2.641807,1466.980000,20938.607600,716.980000,20938.607600,,
force_speed,,speed,speed750,750,750,20,654.500000,19.050000,4.364631,647,658,2.558579,1692.250000,1677.687500,942.250000,1677.687500,,
force_speed,,speed,speed1000,1000,750,20,655.250000,56.787500,7.535748,648,664,2.229036,1723.900000,611.090000,973.900000,611.090000,,
force_speed,,hybrid,hybrid,hybrid,750,20,691.950000,0.047500,0.217945,691,692,4.387218,892.260000,1663.072400,142.260000,1663.072400,,
force_speed,,speed,speed25,25,1000,20,688.100000,2.390000,1.545962,686,690,7.051979,1233.770000,5709.005100,233.770000,5709.005100,,
force_speed,,speed,speed50,50,1000,20,688.300000,1.610000,1.268858,686,690,4.553443,1307.720000,10123.185600,307.720000,10123.185600,,
force_speed,,speed,speed100,100,1000,20,686.600000,7.640000,2.764055,679,691,3.288994,1368.930000,9495.553100,368.930000,9495.553100,,
force_speed,,speed,speed250,250,1000,20,676.800000,9.760000,3.124100,675,683,2.775674,1458.260000,10526.184400,458.260000,10526.184400,,
force_speed,,speed,speed500,500,1000,20,664.350000,29.827500,5.461456,660,673,2.802963,1503.840000,9242.746400,503.840000,9242.746400,,
force_speed,,speed,speed750,750,1000,20,653.100000,26.290000,5.127377,646,658,2.415109,1700.200000,1253.260000,700.200000,1253.260000,,
force_speed,,speed,speed1000,1000,1000,20,653.300000,50.710000,7.121095,648,663,2.417219,1701.350000,1565.227500,701.350000,1565.227500,,
force_speed,,hybrid,hybrid,hybrid,1000,20,690.350000,1.527500,1.235921,687,692,4.569583,1264.850000,2907.127500,264.850000,2907.127500,,
