Source_File,Force_Limit_g,Speed_Label,Trial_Index,Trial_Name,Threshold,Reasons
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,15,speed_15,3.5,onset_angle:6.52
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,16,speed_16,3.5,peak_force_g:-5.17;overshoot_g:-5.17
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,17,speed_17,3.5,onset_angle:6.52;peak_force_g:-17.76;overshoot_g:-17.76
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,18,speed_18,3.5,peak_force_g:-15.06;overshoot_g:-15.06
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,19,speed_19,3.5,onset_angle:6.07;peak_force_g:-10.34;overshoot_g:-10.34
middlefinger_speed1000_force750_20trials_20260303-170240.csv,750,speed1000,20,speed_20,3.5,peak_force_g:-4.95;overshoot_g:-4.95
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,1,hybrid_01,3.5,onset_angle:-4.05;peak_time_s:11.83
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,3,hybrid_03,3.5,onset_angle:-4.05
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,6,hybrid_06,3.5,onset_angle:-5.40;peak_time_s:4.96
middlefinger_hybrid_force1000_20trials_20260303-184313.csv,1000,hybrid,10,hybrid_10,3.5,peak_time_s:4.21
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,11,speed_11,3.5,peak_force_g:-4.57;overshoot_g:-4.57;peak_time_s:15.99
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,12,speed_12,3.5,peak_time_s:15.41
middlefinger_speed25_force1000_20trials_20260303-180801.csv,1000,speed25,14,speed_14,3.5,peak_time_s:21.43
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,5,speed_05,3.5,peak_force_g:-4.93;overshoot_g:-4.93
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,8,speed_08,3.5,peak_force_g:-4.73;overshoot_g:-4.73
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,12,speed_12,3.5,peak_force_g:-5.57;overshoot_g:-5.57;peak_time_s:-4.61
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,14,speed_14,3.5,peak_time_s:5.52
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,18,speed_18,3.5,peak_force_g:-5.20;overshoot_g:-5.20
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,19,speed_19,3.5,peak_force_g:-4.97;overshoot_g:-4.97;peak_time_s:-4.47
middlefinger_speed50_force1000_20trials_20260303-175516.csv,1000,speed50,20,speed_20,3.5,peak_time_s:8.01
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,4,speed_04,3.5,peak_force_g:-4.45;overshoot_g:-4.45
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,8,speed_08,3.5,peak_force_g:-7.19;overshoot_g:-7.19;peak_time_s:-9.00
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,12,speed_12,3.5,peak_force_g:-6.61;overshoot_g:-6.61;peak_time_s:-9.33
middlefinger_speed100_force1000_20trials_20260303-174306.csv,1000,speed100,18,speed_18,3.5,onset_angle:-4.72
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,3,speed_03,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,4,speed_04,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,9,speed_09,3.5,peak_time_s:10.70
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,10,speed_10,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,12,speed_12,3.5,onset_angle:5.40
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,13,speed_13,3.5,peak_force_g:-5.32;overshoot_g:-5.32;peak_time_s:-5.10
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,17,speed_17,3.5,onset_angle:6.17;peak_time_s:5.64
middlefinger_speed250_force1000_20trials_20260303-173430.csv,1000,speed250,19,speed_19,3.5,peak_force_g:-5.84;overshoot_g:-5.84;peak_time_s:8.78
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,6,speed_06,3.5,peak_time_s:4.39
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,7,speed_07,3.5,peak_time_s:4.11
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,9,speed_09,3.5,peak_force_g:-6.58;overshoot_g:-6.58
middlefinger_speed500_force1000_20trials_20260303-172317.csv,1000,speed500,16,speed_16,3.5,peak_force_g:-7.05;overshoot_g:-7.05
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,2,speed_02,3.5,onset_angle:-6.75;peak_time_s:4.27
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,3,speed_03,3.5,onset_angle:-7.42
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,5,speed_05,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,8,speed_08,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,9,speed_09,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,11,speed_11,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,16,speed_16,3.5,onset_angle:-6.75;peak_force_g:-8.35;overshoot_g:-8.35
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,17,speed_17,3.5,peak_force_g:-10.12;overshoot_g:-10.12
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,18,speed_18,3.5,peak_force_g:-3.68;overshoot_g:-3.68;peak_time_s:28.58
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,19,speed_19,3.5,onset_angle:-6.75
middlefinger_speed750_force1000_20trials_20260303-171447.csv,1000,speed750,20,speed_20,3.5,peak_force_g:-9.70;overshoot_g:-9.70
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,8,speed_08,3.5,peak_force_g:-6.00;overshoot_g:-6.00
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,10,speed_10,3.5,peak_force_g:-4.28;overshoot_g:-4.28
middlefinger_speed1000_force1000_20trials_20260303-170435.csv,1000,speed1000,11,speed_11,3.5,peak_time_s:4.42
